Hand plotting file for f:\raft\samfinal.hul             05:54:18      03-15-2010
X in.         Y in.         X in-eights   Y in-eights   X mm          Y mm
10.52         9.76          10-4/8        9-6/8         267.2         247.9
10.12         14.66         10-1/8        14-5/8        257.0         372.4
7.90          19.75         7-7/8         19-6/8        200.7         501.7
4.74          22.20         4-6/8         22-2/8        120.4         563.9
0.00          22.94         0-0/8         22-8/8        0.0           582.7
0.00          22.94         0-0/8         22-8/8        0.0           582.7
0.00          1.31          0-0/8         1-2/8         0.0           33.3
-0.01         1.31          -0-0/8        1-2/8         -0.3          33.3
frame7.uc     __________    __________    __________    __________    __________
0.00          2.28          0-0/8         2-2/8         0.0           57.9
2.33          3.09          2-3/8         3-1/8         59.2          78.5
5.14          4.78          5-1/8         4-6/8         130.6         121.4
8.22          10.14         8-2/8         10-1/8        208.8         257.6
7.85          14.43         7-7/8         14-3/8        199.4         366.5
5.85          19.06         5-7/8         19-0/8        148.6         484.1
3.33          21.20         3-3/8         21-2/8        84.6          538.5
0.00          21.74         0-0/8         21-6/8        0.0           552.2
0.00          21.74         0-0/8         21-6/8        0.0           552.2
0.00          2.28          0-0/8         2-2/8         0.0           57.9
0.00          2.28          0-0/8         2-2/8         0.0           57.9
chine1.uc     __________    __________    __________    __________    __________
-11.59        1.95          -11-5/8       1-8/8         -294.4        49.5
-1.18         2.03          -1-1/8        2-0/8         -30.0         51.6
9.23          2.21          9-2/8         2-2/8         234.4         56.1
19.31         2.44          19-2/8        2-4/8         490.5         62.0
47.19         3.18          47-2/8        3-1/8         1198.6        80.8
75.03         3.53          75-0/8        3-4/8         1905.8        89.7
102.57        3.59          102-5/8       3-5/8         2605.3        91.2
132.33        3.53          132-3/8       3-4/8         3361.2        89.7
162.10        3.15          162-1/8       3-1/8         4117.3        80.0
191.60        2.28          191-5/8       2-2/8         4866.6        57.9
203.59        1.80          203-5/8       1-6/8         5171.2        45.7
215.60        1.37          215-5/8       1-3/8         5476.2        34.8
227.32        1.13          227-3/8       1-1/8         5773.9        28.7
221.67        0.06          221-5/8       0-0/8         5630.4        1.5
211.83        0.05          211-7/8       0-0/8         5380.5        1.3
201.70        -0.03         201-6/8       -0-0/8        5123.2        -0.8
191.57        -0.10         191-5/8       -0-1/8        4865.9        -2.5
